Date of obs,Date of pub,Period of obs,Brief decsription,Content Type,Strategies,Calls to action,Engagement metrics,Like ,Heart,Haha,Angry,Surprised,Tears,Comments (No.),,Page/Account/Group,,share,views,Hug,Thinking
26-May-20,22-May-20,10 am to 5 pm,Post about social work,C4,-,-,people praising it,471,99,0,0,3,0,128,,Aryan Singh,,12,,0,14
26-May-20,22-May-20,10 am to 5 pm,Post wishing birthday to an organization member,C4,-,-,people wishing him,755,137,0,0,3,0,160,,Aryan Singh,,0,,0,18
26-May-20,23-May-20,10 am to 5 pm,Post saying only those talk badly about Hindtuva whose ancestory is problematic,C4,S1,-,people agreeing and writing jai shree ram,372,96,2,0,4,0,158,,Aryan Singh,,7,,0,8
26-May-20,23-May-20,10 am to 5 pm,Post saying there will be meeting to deal with the oppostion to the organization who are plotting,C4,S4,-,people asking what happened,354,64,0,0,3,0,137,,Aryan Singh,,3,,0,6
26-May-20,25-May-20,10 am to 5 pm,Post about social work,C4,-,-,people praising it,197,45,0,0,0,0,45,,Aryan Singh,,3,,0,1
26-May-20,25-May-20,10 am to 5 pm,His own picture with a weapon,C7,S4,-,people praising it,770,164,1,0,12,0,233,,Aryan Singh,,6,,0,18
26-May-20,26-May-20,10 am to 5 pm,Post saying for next three days he will be on mission to remove certain people from his friend list,C4,-,-,people writing jai shree ram,387,95,3,0,5,0,164,,Aryan Singh,,0,,0,10
26-May-20,26-May-20,10 am to 5 pm,Post saying he has removed non active 300 friends with names starting from A,C4,-,-,people saying be careful with their names,160,35,13,0,5,0,134,,Aryan Singh,,0,,0,5
26-May-20,26-May-20,10 am to 5 pm,post saying he has removed non active b letter name friends,C4,-,-,people saying be careful with their names,48,13,2,0,2,0,8,,Aryan Singh,,0,,0,2
26-May-20,22-May-20,10 am to 5 pm,Picture with a person and saying how much he respects him,C4,-,-,"people praising them, calling them Ram Laxman",313,44,0,0,1,0,36,,Rajeev Brahmarshi,,5,,0,2
26-May-20,22-May-20,10 am to 5 pm,Post about social work,C3 ,-,-,people praising it,5,1,0,0,0,0,1,,Rajeev Brahmarshi,,1,,0,0
26-May-20,22-May-20,10 am to 5 pm,post criticising Bihar government for migrant crisis,C4,-,-,people agreeing,103,2,0,1,0,32,7,,Rajeev Brahmarshi,,25,,0,0
26-May-20,23-May-20,10 am to 5 pm,post about donation to release Nagesh Samrat,C4,-,-,people praising it,128,24,0,0,0,0,31,,Rajeev Brahmarshi,,4,,0,1
26-May-20,23-May-20,10 am to 5 pm,Post about new appointment to the organization,C4,-,-,people praising it,159,20,0,0,0,0,28,,Rajeev Brahmarshi,,4,,0,1
26-May-20,24-May-20,10 am to 5 pm,Post about religious greeting,C4,-,-,people greeting back,108,10,0,0,0,0,9,,Rajeev Brahmarshi,,0,,0,0
26-May-20,24-May-20,10 am to 5 pm,Post about social work,C4,-,-,one comment thanking him,30,2,0,0,0,0,2,,Rajeev Brahmarshi,,0,,0,0
26-May-20,24-May-20,10 am to 5 pm,Post defending himself saying his opposition wants him to be painted as anit Kshatriya,C5,"S1,",-,people praising him and defending him,234,32,0,0,0,3,60,,Rajeev Brahmarshi,,12,,0,5
26-May-20,25-May-20,10 am to 5 pm,Post saying he is suffering from kidney stones but will be back soon,C4,-,-,people wishin him recovery,266,16,0,0,0,92,118,,Rajeev Brahmarshi,,5,,0,7
26-May-20,23-May-20,10 am to 5 pm,Post with newspaper picture asking Irfan Ansari to apologise for his comments,C4,S1,-,people demadning punishment,475,8,0,0,1,0,31,,Karni Sena,,14,,0,0
26-May-20,25-May-20,10 am to 5 pm,Post paying respect to army martyr,C4,-,-,people paying res[ect as well,600,18,0,0,0,47,73,,Karni Sena,,15,,0,0
26-May-20,23-May-20,10 am to 5 pm,Post about Pakistan plane crash,C4,"S1,S3",-,people saying more should have been killed,20 k,646,2.1 k,4,41,37,951,,Updesh Rana,,969,,0,47
26-May-20,23-May-20,10 am to 5 pm,Post saying a policemen in Rajasthan got murdered,C5,-,-,people demanding justice,5.9 k,55,1,12,1,889,447,,Updesh Rana,,279,,0,9
26-May-20,23-May-20,10 am to 5 pm,live video about alleged murder of a policeman in Rajasthan,C3 ,-,-,people demadnding probe,2.1 k,37,2,2,1,209,147,,Updesh Rana,,93,,0,4
26-May-20,24-May-20,10 am to 5 pm,Post saying women constable was raped by muslim colleague,C4,"S1,S2?","A1,A4",people demadnign extreme action,11 k,75,7,1.3 k,13,1 k,780,,Updesh Rana,,1 k,,0,10
26-May-20,24-May-20,10 am to 5 pm,live video about rape of women constable,C3 ,S1,"A1,A4",people blaming the woman and muslims,7.9 k,760,18,277,15,135,3 k,,Updesh Rana,,3.2 k,80 k,0,37
26-May-20,24-May-20,10 am to 5 pm,post saying UP police has contacted him in the case,C4,S4,-,people praising him ,4.9 k,225,1,3,17,11,211,,Updesh Rana,,218,,0,11
26-May-20,24-May-20,10 am to 5 pm,Post saying he wil show chandrashekhar ravan if he tried to protest against ram temple,C5,S1,A1,people saying we will finish him on spot,17 k,1.2 k,449,48,37,6,2.4 k,,Updesh Rana,,1 k,,0,61
26-May-20,25-May-20,10 am to 5 pm,ivideo of a person claiming a muslim has taken his two daughters,C3 ,"S1,S4","A1,A4",people demanding action,4.3 k,32,4,448,6,0,252,,Updesh Rana,,1.7 k,,0,6
26-May-20,25-May-20,10 am to 5 pm,Post saying Punjab police has taken action after his comments,C4,S4,-,people praising him,1.4 k,42,0,31,2,88,132,,Updesh Rana,,167,,0,4
26-May-20,25-May-20,10 am to 5 pm,Post saying he is getting death threats from Pakistan,C5,"S1,S4",-,peopole saying he should stay safe,8.7 k,416,20,428,12,86,1.1 k,,Updesh Rana,,370,,0,148
26-May-20,26-May-20,10 am to 5 pm,Post saying he is going to avoid inside traitors who are leaking his information,C7,S1,-,people saying always stay away from traitors,17 k,775,15,13,22,4,1.1 k,,Updesh Rana,,118,,0,103
26-May-20,26-May-20,10 am to 5 pm,Post about threats to him from Pakistan,C6,S1,"A1,A4",people saying show them their place,3.5 k,27,29,529,14,150,453,,Updesh Rana,,251,,0,14
26-May-20,23-May-20,10 am to 5 pm,Q&A session on normal life,C3 ,-,-,people praising him,1.1 k,91,0,0,2,0,64,,Ajeet Bharti,,43,,0,12
26-May-20,23-May-20,10 am to 5 pm,post about urging people to read more,C5,-,-,people praising him for advice,213,20,0,0,0,0,13,,Ajeet Bharti,,14,,0,2
26-May-20,24-May-20,10 am to 5 pm,link to article claiming Rvish kumar shared fake news,C6,"S1,S3",A2,comment saying he will be out of your job slowly slowly,937,5,138,54,4,5,100,,Ajeet Bharti,,251,,0,1
26-May-20,24-May-20,10 am to 5 pm,Post against Ravish Kumar and defeding Gujarat government,C5,S4,-,people praising him and agreeing,853,23,56,3,2,0,52,,Ajeet Bharti,,230,,0,5
26-May-20,25-May-20,10 am to 5 pm,live video about murder of a hindu man by muslims,C3 ,S1,"A1,A4",people demadning action,964,23,2,207,4,259,99,,Ajeet Bharti,,705,304 k,0,1
26-May-20,26-May-20,10 am to 5 pm,link to article about pinjra tod arrest for the delhi riots,C6,S1,A4,people saying now police will break them,336,3,1,29,3,1,10,,Ajeet Bharti,,76,,0,0
26-May-20,26-May-20,10 am to 5 pm,link to article against Ravish Kumar,C6,S1,A4,people saying there should be case against him,234,0,2,11,1,4,8,,Ajeet Bharti,,81,,0,0
26-May-20,23-May-20,10 am to 5 pm,Post about new appointment to the organization,C4,-,-,people congrulating him,159,10,0,0,0,0,12,,Hindu Putra,,7,,0,3
26-May-20,25-May-20,10 am to 5 pm,Post demanding death to murderer of Sunny Gupta case,C4,S5,A4,people agreeing and writing jai shree ram,28,1,0,0,0,0,3,,Hindu Putra - G,,1,,0,0
26-May-20,26-May-20,10 am to 5 pm,Post making fun of Shaheen Bagh,C4,"S1,S2,S3",A1,no comments,10,0,10,0,0,0,0,,Hindu Putra - G,,1,,0,0
26-May-20,26-May-20,10 am to 5 pm,old video of Indian army with alleged terrorist,C3 ,S1,A4,comment asking them to kill,10,0,0,0,0,0,3,,Hindu Putra - G,,0,,0,0
26-May-20,25-May-20,10 am to 5 pm,post saying hindu should not be wishing muslims for eid,C4,S3,A3,no comments,6,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
26-May-20,24-May-20,10 am to 5 pm,a fake picture of nude woman saying she was at shaheen bagh,C4,"S2,S1,S3",A1,one comment saying super,18,14,0,0,0,0,1,,Hindu Putra - G,,2,,0,0
26-May-20,25-May-20,10 am to 5 pm,Post saying brahman should avoid dowry and focus on collective marriages,C4,-,-,people agreeing,34,1,0,0,0,0,7,,Brahman Samaj Seva Samiti,,0,,0,0
26-May-20,26-May-20,10 am to 5 pm,Post saying our brahman brother has asked us to boycott tik tok so shall we,C4,S5,A2,people saying yes,520,19,0,1,2,0,38,,Brahman Samaj Seva Samiti,,20,,0,2
26-May-20,25-May-20,10 am to 5 pm,Post saying brahman girl was shot by muslims,C4,"S5,S1","A1,A4",people asking them to be killed,515,2,0,124,0,0,93,,Brahman Samaj Seva Samiti,,197,,0,127
,,,,,,,,,,,,,,,,,,,,,
27-May-20,26-May-20,10 am to 5 pm,Post from an app talking about what his city signifies,C6,-,-,one person with a praising emoticon,8,2,0,0,0,0,1,,Nitin Gupta,,0,,0,0
27-May-20,26-May-20,10 am to 5 pm,Post saying in these times those brahmans who work pooja should be taken care of,C5,-,-,people saying we will take care of each other,176,4,0,0,0,4,33,,Brahman Samaj Seva Samiti,,14,,0,2
27-May-20,27-May-20,10 am to 5 pm,Post saying celebrate since construction of Ram temple has started,C4,S5,-,people writing jai shree ram,206,15,0,0,0,0,72,,Brahman Samaj Seva Samiti,,1,,0,1
27-May-20,27-May-20,10 am to 5 pm,Post about mythological stories of Parshuram,C5,-,-,people writing jai parshuram,32,2,0,0,0,0,4,,Brahman Samaj Seva Samiti,,2,,0,0
27-May-20,26-May-20,10 am to 5 pm,Post saying a woman working in police died of corona,C4,S5,-,people paying respect,64,0,0,0,0,20,8,,Brahman Samaj Seva Samiti,,3,,0,0
27-May-20,26-May-20,10 am to 5 pm,Post saying celebrate since construction of Ram temple has started,C4,S5,-,people writing jai shree ram,1.3 k,104,1,0,3,0,235,,Brahman Samaj Seva Samiti,,43,,0,7
27-May-20,27-May-20,10 am to 5 pm,Post saying a brahman girl became the first pilot to fly fighter plane and media does not talk about it while they talk about Teena Dhabiwho got where because of reservation,C4,S4,-,people praising her,284,18,0,0,0,0,39,,Brahman Samaj Seva Samiti,,21,,0,1
27-May-20,27-May-20,10 am to 5 pm,"Post saying if brahmans would have poisioned Hindus like maulvis do to muslims, India would have been a Hindu Rashtra",C4,"S1,S4",-,people agreeing,184,2,1,0,1,0,8,,Brahman Samaj Seva Samiti,,8,,0,8
27-May-20,27-May-20,10 am to 5 pm,"Post saying why those people were doubting ram temple, are not here today",C4,"S3,S5",-,no comments,2,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
27-May-20,27-May-20,10 am to 5 pm,Post about wildfire in Uttarakhand,C4,-,-,no comments,5,0,0,0,0,0,1,,Hindu Putra - G,,0,,0,0
27-May-20,26-May-20,10 am to 5 pm,"Post saying Modi took oath on 26 May 2014 and now on 26 May 2020, construction of ram temple has started",C4,S4,-,no comments,6,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
27-May-20,26-May-20,10 am to 5 pm,Post saying Alka Lamba called yogi and modi but what does she want,C4,"S1,S3,S5",A1,"one comment saying how does she know, did she have sex with them",8,1,1,0,0,0,1,,Hindu Putra - G,,1,,0,0
27-May-20,27-May-20,10 am to 5 pm,Post saying celebrate since construction of Ram temple has started,C4,-,-,people writing jai shree ram,58,3,0,0,0,0,8,,Hindu Putra - G,,0,,0,0
27-May-20,27-May-20,10 am to 5 pm,post saying India should have law like Israel to shoot down anyone who speaks against the country,C4,S5,A4,one comment saying once probe and then shoot,18,0,0,0,0,0,1,,Hindu Putra - G,,0,,0,0
27-May-20,27-May-20,10 am to 5 pm,"Post congrulating for construction of ram temple with photo of T Raja Singh, Yogi and Modi",C4,S4,-,no comments,19,1,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
27-May-20,26-May-20,10 am to 5 pm,"post saying why only temples are under government control, not mosques and churches in a secular india",C4,"S2,S5",-,no comments,17,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
27-May-20,26-May-20,10 am to 5 pm,Shared an old facebook memory with yogi Adityanath,C4,-,-,people praising it,181,34,0,0,0,0,23,,Rajeev Brahmarshi,,4,,0,3
27-May-20,26-May-20,10 am to 5 pm,Shared his twitter account link urging people to follow him,C6,S5,-,people saying yes they will follow,269,65,0,0,1,0,103,,Aryan Singh,,6,,0,6
27-May-20,27-May-20,10 am to 5 pm,Post about invite for a live talk on the topic of Savarkar,C4,S4,-,people writing jai shree ram,90,27,0,0,0,0,37,,Aryan Singh,,2,,0,3
27-May-20,27-May-20,10 am to 5 pm,post with his own picture with a weapon,C7,"S4,S5",-,people writing jai shree ram,234,75,0,0,2,0,2.9 k,,Aryan Singh,,2,,0,8
27-May-20,26-May-20,10 am to 5 pm,"Post saying who kept doubting ram temple construction, they should hear the date of beginning now",C4,"S1,S3,S4",-,people praising it,22 k,1.6 k,35,0,46,0,2.2 k,,Updesh Rana,,1.3 k,,0,134
27-May-20,26-May-20,10 am to 5 pm,Book review of things fall apart,C5,-,-,people showing interest,138,13,0,0,1,0,3,,Ajeet Bharti,,7,,0,0
27-May-20,26-May-20,10 am to 5 pm,Link to article against Ravish Kumar,C6,"S1,S3,",A4,people asking him to be arrested and beaten up,631,1,54,49,2,6,45,,Ajeet Bharti,,280,,0,0
27-May-20,27-May-20,10 am to 5 pm,Link to articla aginst Mrinal Pande that how she spread fake news,C6,"S1,S2,S3","A4,A1",people abusing her and saying time has come that communist will be shot down,362,2,51,29,2,3,36,,Ajeet Bharti,,78,,0,0
27-May-20,27-May-20,10 am to 5 pm,Link to article claiming Nehru said that muslim believe in conversion and their ancestors are hindu only,C6,"S1,S2,S4,",A1,people saying they made be made hindu again or solve the problem of Pakistan,290,5,15,0,3,0,5,,Ajeet Bharti,,89,,0,2
,,,,,,,,,,,,,,,,,,,,,
28-May-20,28-May-20,10 am to 5 pm,Post for Veer Savarkar's birthday,C4,S4,-,people paying respect,113,5,0,0,0,0,12,,Karni Sena,,6,,0,2
28-May-20,28-May-20,10 am to 5 pm,News link of a policman being suspended for allegedly abusing Brahmans,C6,-,-,people praising it,56,4,1,0,1,0,25,,Brahman Samaj Seva Samiti,,7,,0,0
28-May-20,28-May-20,10 am to 5 pm,Post asking if the religious preachers who mention muslims prophets can be forgiven,C4,S5,-,people answering no,54,0,0,0,0,0,35,,Brahman Samaj Seva Samiti,,4,,0,0
28-May-20,28-May-20,10 am to 5 pm,Post asking people to stay away from fraud brahmans like Anushka sharma,C4,"S1,S2","A2,A3",people saying boycott her movies,91,1,0,6,0,1,15,,Brahman Samaj Seva Samiti,,15,,0,0
28-May-20,27-May-20,10 am to 5 pm,Link to article of a policemen abusing Brahmans,C6,S1,A1,people abusing him and saying to use violence agains him,427,1,2,160,3,32,289,,Brahman Samaj Seva Samiti,,779,,0,0
28-May-20,28-May-20,10 am to 5 pm,Post about Savarkar's birthday,C4,S4,-,people paying respect,63,5,0,0,0,0,12,,Brahman Samaj Seva Samiti,,8,,0,0
28-May-20,28-May-20,10 am to 5 pm,Post saying why Muslims actor marry only Hindu girls,C4,"S2,S5",-,one comment saying jihad is the reason,7,0,0,0,0,0,1,,Brahman Samaj Seva Samiti,,0,,0,0
28-May-20,27-May-20,10 am to 5 pm,Post saying half of decorated Indian armymen are brahmans,C5,S4,-,people writing jai parshuram,257,17,0,0,0,0,28,,Brahman Samaj Seva Samiti,,38,,0,3
28-May-20,27-May-20,10 am to 5 pm,Post about new appointments to the organization,C4,-,-,people congrulating him,93,4,0,0,0,0,4,,Hindu Putra,,6,,0,0
28-May-20,27-May-20,10 am to 5 pm,Video of kids with toy guns pointing at what seems like Indian army vehicle,C3,"S1,S2",-,no comments,2,0,0,0,0,0,0,,Hindu Putra - G,,1,,0,0
28-May-20,27-May-20,10 am to 5 pm,A death poster of Chandrashekhar ravan,C4,"S1,S2,S4,",A1,two comments calling him traitor and saying that good he died,14,2,0,0,0,2,2,,Hindu Putra - G,,3,,0,0
28-May-20,27-May-20,10 am to 5 pm,"Post saying first time because of Modi, WHO chief is indian but oppostion will not accept it",C4,"S2,S3,S4,S5",-,no comments,8,1,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
28-May-20,27-May-20,10 am to 5 pm,Post urging Rajeev brahmarshi to contest elections,C4,-,-,people writing jai ho,17,2,0,0,0,0,2,,Hindu Putra - G,,1,,0,0
28-May-20,28-May-20,10 am to 5 pm,A video of a fight between an army men and a muslim,C3,"S1,S4","A1,A4",people saying army should kill them,11,0,0,21,0,0,5,,Hindu Putra - G,,11,,0,0
28-May-20,28-May-20,10 am to 5 pm,A collection of pictures of indian leaders with muslims with caption calling them traitors,C4,"S1,S2",-,no comments,4,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
28-May-20,28-May-20,10 am to 5 pm,Post saying poeple who are mentioning their caste should remove themselves from his friend list,C4,-,-,most people agreeing but some showing protest,276,56,0,0,2,2,96,,Aryan Singh,,0,,0,11
28-May-20,27-May-20,10 am to 5 pm,Post saying time has come for change in Bihar,C4,-,-,people welcoming it and asking about his health,110,10,0,0,0,0,12,,Rajeev Brahmarshi,,1,,0,0
28-May-20,27-May-20,10 am to 5 pm,Post about new appointments to the organization,C4,-,-,people congrulating him,36,3,0,0,0,0,3,,Rajeev Brahmarshi,,1,,0,0
28-May-20,28-May-20,10 am to 5 pm,Post calling Bihar government Mughal government against Hindus,C4,S1,-,people saying yes time for change has come,207,19,1,1,0,0,19,,Rajeev Brahmarshi,,16,,0,2
28-May-20,28-May-20,10 am to 5 pm,Post for Veer Savarkar's birthday,C4,-,-,people paying respect,7.5 k,359,4,0,3,2,409,,Updesh Rana,,135,,0,23
28-May-20,27-May-20,10 am to 5 pm,Linkt to a n article against Pinjra Tod,C6,S2,-,people praising it,450,2,1,24,3,12,13,,Ajeet Bharti,,104,,0,0
28-May-20,28-May-20,10 am to 5 pm,Live video against Pinjra Tod,C3,"S1,S2,S3",A1,people calling them traitors,884,69,47,8,3,3,93,,Ajeet Bharti,,321,97 k,0,2
,,,,,,,,,,,,,,,,,,,,,
29-May-20,28-May-20,10 am to 5 pm,A long post defending Kashmiri Hindus calling out a Muslim conspiracy,C5,"S1,S2,S4,S5",-,no comments,1,0,0,0,0,0,0,,Nitin Gupta,,0,,0,0
29-May-20,28-May-20,10 am to 5 pm,Picture of newspaper clip about asking for investigation in murder case,C4,-,-,people saying there should be CBI investigation,145,0,0,1,1,1,6,,Karni Sena,,6,,0,0
29-May-20,28-May-20,10 am to 5 pm,Post about filing report about someone saying something against the Ram,C4,-,-,people writing jai shree ram,101,2,0,0,1,0,14,,Karni Sena,,4,,0,0
29-May-20,29-May-20,10 am to 5 pm,Post saying our ancestors built this country for everyone,C4,S4,-,one comment saying jai ho,13,1,0,0,0,0,1,,Brahman Samaj Seva Samiti,,0,,0,0
29-May-20,29-May-20,10 am to 5 pm,Post saying take pride in Indian history,C5,"S4,S2",-,people writing jai ho,66,8,0,0,0,0,6,,Brahman Samaj Seva Samiti,,35,,0,0
29-May-20,29-May-20,10 am to 5 pm,Post caling anushka sharma and her show anti hindu,C5,S2,A2,one person calling for boycott,3,0,0,0,0,0,1,,Brahman Samaj Seva Samiti,,0,,0,0
29-May-20,29-May-20,10 am to 5 pm,Post against malaika Arora for ''disgracing'' Sanatan culture,C5,"S2,S4,S1",-,people saying she cannot teach us about our religion,15,0,1,0,0,1,5,,Brahman Samaj Seva Samiti,,0,,0,0
29-May-20,29-May-20,10 am to 5 pm,post saying there is a conersion conspiracy against Hindus,C5,"S2,S4,",-,one comment saying it is because that most religious preacher these days are non Brahmans,12,1,0,0,0,2,3,,Brahman Samaj Seva Samiti,,4,,0,0
29-May-20,29-May-20,10 am to 5 pm,Post saying is is one's luck to be born as brahman,C4,S4,-,people writing jai parshuram,238,13,0,0,1,0,23,,Brahman Samaj Seva Samiti,,8,,0,2
29-May-20,29-May-20,10 am to 5 pm,Post about the death annieversary of Laxmi Bai,C4,-,-,people paying respect,254,6,2,0,2,0,50,,Brahman Samaj Seva Samiti,,20,,0,0
29-May-20,29-May-20,10 am to 5 pm,Post of a guy saying his account is being reported so asking to mention him,C4,-,-,people mentioning his name,41,5,0,0,1,0,48,,Hindu Putra - G,,0,,0,0
29-May-20,28-May-20,10 am to 5 pm,video of a muslim fighting with indian army,C3,S1,"A1,A4",people saying kill him,21,0,37,0,0,1,12,,Hindu Putra - G,,31,,0,0
29-May-20,28-May-20,10 am to 5 pm,Video of a dead woman on platform,C3,-,-,people expressing sadness,31,0,0,3,0,26,5,,Hindu Putra - G,,2,,0,0
29-May-20,28-May-20,10 am to 5 pm,Picture of muslims sacrificing a cow and post saying how do we wish them eid,C4,S1,-,one person using muslims,7,0,0,24,0,10,2,,Hindu Putra - G,,2,,0,0
29-May-20,28-May-20,10 am to 5 pm,Post of pcitures of Krishna from Mahabharat,C4,-,-,people writing jai shree krishna,99,15,0,0,0,0,2,,Hindu Putra - G,,0,,0,0
29-May-20,29-May-20,10 am to 5 pm,Post against government and calling for alternate,C4,-,-,people praising it,93,15,0,0,0,0,15,,Rajeev Brahmarshi,,2,,0,0
29-May-20,29-May-20,10 am to 5 pm,"Post saying if india government cannot catch maulana Saad, how would they catch Daud Ibrahim",C4,S5,-,people saying it's all appeasement,59,3,2,1,0,0,9,,Rajeev Brahmarshi,,0,,0,0
29-May-20,28-May-20,10 am to 5 pm,Post saying he is reaching where a person needs blood,C4,-,-,people praising him,205,52,0,0,2,0,49,,Aryan Singh,,0,,0,7
29-May-20,28-May-20,10 am to 5 pm,live video about blood donation,C3,-,-,people praising it,270,96,0,0,3,0,168,,Aryan Singh,,26,1.9 k,0,10
29-May-20,28-May-20,10 am to 5 pm,post about blood donation activity,C5,S4,-,people praising it,747,174,0,0,4,0,211,,Aryan Singh,,42,,0,24
29-May-20,29-May-20,10 am to 5 pm,post saying he has removed inactive friends with letter K,C4,-,-,people writing jai shree ram,235,27,12,0,4,0,52,,Aryan Singh,,0,,0,6
29-May-20,29-May-20,10 am to 5 pm,Post about some women being scammed in the name of love,C3,"S1,S2,",A1,people agreeing,32,2,0,5,0,8,6,,Aryan Singh,,12,,0,0
29-May-20,29-May-20,10 am to 5 pm,post with his own picture talking about dadication to Hindutva,C7,S4,-,people writing jai shree ram,109,38,0,0,0,0,29,,Aryan Singh,,0,,0,1
29-May-20,29-May-20,10 am to 5 pm,Post saying he will file case against Anushka Sharma,C4,"S1,S2",A2,people praising him,15 k,852,30,12,30,2,1.2 k,,Updesh Rana,,619,,0,67
29-May-20,28-May-20,10 am to 5 pm,Link to article praising savarkar and criticising Gandhi,C6,"S1,S2,S4",-,people calling gandhi a traitor,873,55,1,2,3,36,40,,Ajeet Bharti,,316,,0,9
29-May-20,28-May-20,10 am to 5 pm,Live video criticising liberals for questioning the temple construction,C3,"S1,S3,S4",-,people saying they are problem to india,1 k,118,31,1,2,0,120,,Ajeet Bharti,,207,55 k,0,5
29-May-20,28-May-20,10 am to 5 pm,Live video defedning Indian government saying there has been no death of hunger,C3,"S2,S4,S5",-,"some people agreeing, some not",398,21,4,0,0,0,18,,Ajeet Bharti,,68,19 k,0,0
29-May-20,29-May-20,10 am to 5 pm,link to article saying a rape was committed by Muslim and newspaper portrayed as if it was by hindus,C6,S5,-,people praising him for telling the truth,341,1,2,104,3,37,24,,Ajeet Bharti,,286,,0,0
,,,,,,,,,,,,,,,,,,,,,
30-May-20,30-May-20,10 am to 5 pm,Post asking to boycott religious preacher who talk about secularism,C4,"S1,S2",A3,people abusing him and calling him traitor,43,1,0,22,0,0,22,,Brahman Samaj Seva Samiti,,17,,0,0
30-May-20,30-May-20,10 am to 5 pm,Post saying Brahmans are suffering all around because of lack of unity,C4,S5,-,people agreeing,92,1,0,0,0,0,16,,Brahman Samaj Seva Samiti,,6,,0,0
30-May-20,29-May-20,10 am to 5 pm,Picture of a Hindu God,C4,-,-,peopel giving religious greeting,100,8,0,0,0,0,8,,Brahman Samaj Seva Samiti,,1,,0,0
30-May-20,30-May-20,10 am to 5 pm,Post saying a smart man can be rich but rich cannot be smart,C4,-,-,people agreeing,17,0,0,0,0,0,2,,Brahman Samaj Seva Samiti,,2,,0,0
30-May-20,30-May-20,10 am to 5 pm,Post saying that body is useless which does not say jai shree ram,C4,S5,-,people writing jai shree ram,9,0,0,0,0,0,3,,Brahman Samaj Seva Samiti,,0,,0,0
30-May-20,30-May-20,10 am to 5 pm,Post saying be proud of being brahman because that is most upper caste,C4,S5,-,people writing jai parshuram,41,2,0,0,0,0,2,,Brahman Samaj Seva Samiti,,3,,0,1
30-May-20,29-May-20,10 am to 5 pm,Post saying how Hinduism is greater than other religion,C4,S4,-,people agreeing,11,0,0,0,0,0,5,,Brahman Samaj Seva Samiti,,0,,0,0
30-May-20,30-May-20,10 am to 5 pm,Picture of Hindu God,C4,-,-,people giving religious greetings,43,5,0,0,0,0,4,,Brahman Samaj Seva Samiti,,1,,0,0
30-May,29-May-20,10 am to 5 pm,Post saying in Bihar BJP is like Manmohan Singh and Nitish Kumar is liek Sonia Gnadhi,C7,S3,-,people writing jai shree ram,158,10,0,0,0,0,7,,Hindu Putra,,6,,0,0
30-May-20,30-May-20,10 am to 5 pm,Post saying hindus needs law to save them in India,C5,"S2,S5",-,no comments,0,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
30-May-20,29-May-20,10 am to 5 pm,Post asking how many people are ready to join army,C4,S5,-,people saying yes,43,7,0,0,0,0,9,,Hindu Putra - G,,0,,0,1
30-May-20,30-May-20,10 am to 5 pm,Post saying jai shree ram and asking people to do same for unity,C4,S5,-,no comments,4,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
30-May-20,30-May-20,10 am to 5 pm,Post saying Supreme Court is going to have a hearing to change name from India to bharat,C4,S2,-,no comments,3,1,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
30-May-20,29-May-20,10 am to 5 pm,Post saying India needs to be saffron,C4,S4,-,people writing jai shree ram,13,3,0,0,0,0,3,,Hindu Putra - G,,0,,0,1
30-May-20,30-May-20,10 am to 5 pm,Video of some people beating up a person,C3,"S1,S5",-,people saying they should be punished,7,0,1,1,1,0,2,,Hindu Putra - G,,1,,0,0
30-May-20,30-May-20,10 am to 5 pm,post saying this year is election year so be careful of castism,C4,S5,-,people saying yes,251,53,0,0,6,0,114,,Aryan Singh,,13,,0,3
30-May-20,30-May-20,10 am to 5 pm,Live video about his work and just talking to his followers,C3,S4,-,people praising him for his work,9.2 k,991,10,1,12,2,6.7 k,,Updesh Rana,,375,35 k,0,40
30-May-20,29-May-20,10 am to 5 pm,Live video asking why there are constant attacks on Hindu sadhus,C3,"S1,S2,S5","A1,A4",people saying we need to unite and take action,579,11,0,52,0,64,44,,Ajeet Bharti,,176,40 k,0,2
30-May-20,30-May-20,10 am to 5 pm,live video with another infleuncer about freedom of speech,C3,"S1,S2,S4,S5",-,people praising him for his work,209,20,1,0,0,0,17,,Ajeet Bharti,,55,14 k,0,0
30-May-20,29-May-20,10 am to 5 pm,Post of his new porfile picture with no caption,C4,-,-,people praising it,211,37,0,0,1,0,27,,Rajeev Brahmarshi,,1,,0,3
30-May-20,29-May-20,10 am to 5 pm,link to article of a muslim tantrik being caught raping,C6,S1,-,people saying media is unfair and showed him to be hindu,14,0,0,4,0,2,2,,Rajeev Brahmarshi,,9,,0,0
