Date of obs,Date of pub,Period of obs,Brief decsription,Content Type,Strategies,Calls to action,Engagement metrics,Like ,Heart,Haha,Angry,Surprised,Tears,Comments (No.),,Page/Account/Group,,share,views,Hug,Thinking
4-Apr-20,4-Apr-20,10 am to 5 pm,a post saying mainstream media are anti hindus,C4,S2,-,just a comment agreeing,11,1,0,1,0,0,1,,Brahman Samaj Seva Samiti,,0,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,a post saying is amit shah should order army to shoot jihadis,C4,S2,A4,comments saying yes,19,0,0,0,0,0,3,,Brahman Samaj Seva Samiti,,3,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,post saying india should be declared since muslims have no care for it,C4,S2,-,people agreeing,18,0,0,0,0,0,3,,Brahman Samaj Seva Samiti,,1,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,"post saying Raj thackarey has said if there is crowding at mosque, it will not be good",C4,S2,A1,people saying politicians just lie,43,0,0,0,0,0,5,,Brahman Samaj Seva Samiti,,2,,,
4-Apr-20,3-Apr-20,10 am to 5 pm,video blaming muslims for corona,C3,S2,A4,people agreeing,1.3 k,253,4,3,7,1,1.4 k,,Karni Sena,,408,31 k,,
4-Apr-20,3-Apr-20,10 am to 5 pm,a smetaphorical story in context of tabligi incident,C5,-,-,"just a person saying we should save the country and he replying, religion first then the country",9,2,0,0,0,0,5,,Nitin Gupta,,2,,,
4-Apr-20,3-Apr-20,10 am to 5 pm,a post praising modi,C5,-,-,just a comment agreeing,12,2,0,0,0,0,1,,Nitin Gupta,,2,,,
4-Apr-20,3-Apr-20,10 am to 5 pm,again praising modi,C5,-,-,no comments,5,1,0,0,0,0,0,,Nitin Gupta,,0,,,
4-Apr-20,3-Apr-20,10 am to 5 pm,post calling for boycott of Muslims,C5,S1,"A2,A3",no comments,14,0,0,0,0,0,0,,Nitin Gupta,,1,,,
4-Apr-20,3-Apr-20,10 am to 5 pm,poat praising modi,C5,-,-,people just agreeing,10,2,4,0,0,0,6,,Nitin Gupta,,0,,,
4-Apr-20,3-Apr-20,10 am to 5 pm,calling corona an islamic attack,C5,"S2, S3",-,comments agreeing ,17,0,2,0,0,0,3,,Nitin Gupta,,3,,,
4-Apr-20,3-Apr-20,10 am to 5 pm,a post about social work for cornavirus,C4,-,-,just a comment praising it,25,4,0,0,0,0,2,,Rajeev Brahmarshi,,0,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,post about some Hindu deity,C4,-,-,people greeting back,106,17,0,0,1,0,16,,Rajeev Brahmarshi,,1,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,tiktok video of no particular message,C3,-,-,people saying jai shree ram,70,7,0,0,0,0,9,,Rajeev Brahmarshi,,2,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,just a picture of swastik with no caption,C4,-,-,people saying jai shree ram,66,7,0,0,0,0,4,,Rajeev Brahmarshi,,1,,,
4-Apr-20,3-Apr-20,10 am to 5 pm,post wishing birthday of Shivaji Rao,C4,-,-,people praising shivaji,224,72,0,0,3,0,49,,Aryan Singh,,1,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,a post with own picture and calling themselves saffron brave,C4,-,-,people just saying jai shree ram,475,103,0,0,6,0,116,,Aryan Singh,,3,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,a post calling for boycott of muslims,C7,S2,"A2,A3",people agreeing,362,94,1,0,5,0,53,,Aryan Singh,,12,,,
4-Apr-20,3-Apr-20,10 am to 5 pm,just a video about ramanami,C3,-,-,people saying jai shree ram,394,49,0,0,3,0,22,,Hindu Putra,,30,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,post saying there is a need for internal surgical strike,C4,-,A4,two comments agreeing with it,37,0,0,0,0,0,2,,Hindu Putra - G,,15,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,news clip of raj thackarey saying tabligi people should be shot down,C3,-,A4,one coment agreeing with it,3,0,0,0,0,0,1,,Hindu Putra - G,,0,,,
4-Apr-20,3-Apr-20,10 am to 5 pm,"video clip saying tabligi was behind 9/11, godhra etc",C3 ,S2,A3,people asking for action and boycott,5 k,51,14,704,16,83,585,,Updesh Rana,,2.7 k,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,video defending Modi,C3 ,S2,-,people commenting jai shree ram and agreeing,18 k,2.4 k,85,17,42,12,5.3 k,,Updesh Rana,,8 k,362 k,,
4-Apr-20,3-Apr-20,10 am to 5 pm,sarcastic video defaming Ravish Kumar,C3 ,S2,-,people praising it,1.6 k ,90,630,3,8,0,300,,Ajeet Bharti,,1.7 k,175 k,,
4-Apr-20,3-Apr-20,10 am to 5 pm,defaming ravish kumar,C3 ,S2,-,people just making fun of rvavish and praising him,1.4 k,144,15,3,2,1,163,,Ajeet Bharti,,414,61 k,,
,,,,,,,,,,,,,,,,,,,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,post urging to fight corona,C4,-,-,people saying they will follow Modi's directives,106,18,0,0,1,0,9,,Rajeev Brahmarshi,,0,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,post urging to fight corona,C4,-,-,people saying they will follow Modi's directives,71,15,0,0,0,0,5,,Rajeev Brahmarshi,,5,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,post about social work,C5,-,-,people praising it,68,3,0,0,0,0,1,,Rajeev Brahmarshi,,1,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,post saying we have a leader who is creating chance for Diwali in these times,C4,-,-,people praising it,171,25,0,0,0,0,14,,Rajeev Brahmarshi,,0,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,post about modi's 9 minutes initiative,C4,-,-,people praising it,392,67,0,0,2,0,94,,Rajeev Brahmarshi,,1,,,
6-Apr-20,6-Apr-20,10 am to 5 pm,write up how muslims are responsible for corona spread,C5,S2,-,just a comment saying jai shree ram,80,18,0,0,0,0,1,,Rajeev Brahmarshi,,0,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,"post urging people to follow PM's directive of 9 minutes, 9 diyas",C4,-,-,no comments,2,0,0,0,0,0,0,,Karni Sena,,1,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,post about social work,C4,-,-,people praising it,44,3,0,0,0,0,6,,Karni Sena,,12,,,
6-Apr-20,6-Apr-20,10 am to 5 pm,post about social work,C4,-,-,people praising it,71,3,0,0,0,0,7,,Karni Sena,,3,,,
6-Apr-20,4-Apr-20,10 am to 5 pm,A video debate between Arif Mohammed Khan and Arfa ,C3 ,-,-,no comments,3,1,0,0,0,0,0,,Nitin Gupta,,2,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,an old video of Modi speech,C3 ,-,-,no comments,1,0,0,0,0,0,0,,Nitin Gupta,,1,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,tiktok video praising hinduism,C3 ,-,-,no comments,2,0,0,0,0,0,0,,Nitin Gupta,,1,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,post praising modi's reign,C5,-,-,a comment agreeing,7,1,0,0,0,0,2,,Nitin Gupta,,1,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,a post targeting tabligi,C5,-,-,just a comment saying they cannot take it,18,0,0,0,1,0,1,,Nitin Gupta,,2,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,post saying there are more hindus who go against their own things than muslims,C5,"S2, S1",-,just a comment someone lighting up diya,8,0,0,0,0,0,1,,Nitin Gupta,,0,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,post defending modi's 9 diyas move through a joke,C5,S3,-,no comments,4,0,3,0,0,0,0,,Nitin Gupta,,0,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,a video of aamir khan meeting shahid afridi and calling him part of tabligi,C3 ,S2,-,one person calling him traitor,1,0,0,0,0,0,1,,Nitin Gupta,,0,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,a small video about people of their organization,C3 ,-,-,people just saying jai shree ram,306,95,0,0,4,0,58,,Aryan Singh,,2,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,"post saying if they get go, they can go demolish pakistan or maybe muslims",C4,S5,A4,people saying yes we are ready,534,117,3,0,12,1,148,,Aryan Singh,,20,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,post saying we can demolish 20 crore of pakistan,C7,S5,A4,people saying yes and jai shree ram,457,127,0,0,12,0,119,,Aryan Singh,,1,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,just a post for Modi's 9 diya move,C7,-,-,people saying jai shree ram,891,449,6,1,170,7,76,,Aryan Singh,,3,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,video following modi's 9 diya move,C3 ,-,-,people praising it,460,105,0,0,3,0,132,,Aryan Singh,,10,559,,
6-Apr-20,5-Apr-20,10 am to 5 pm,a picture with family but absusive caption ,C7,-,-,people praising it,1.4 k,281,0,0,12,0,233,,Aryan Singh,,2,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,a post praising modi's move,C4,-,-,people saying jai shree ram,342,94,0,0,4,0,55,,Aryan Singh,,13,,,
6-Apr-20,6-Apr-20,10 am to 5 pm, a post saying they thanked essential service workers but picture show the crowding up,C4,-,-,people saying jai shree ram,416,68,0,0,1,0,42,,Aryan Singh,,0,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,a post in support of modi's 9 diya move,C4,-,-,people supporting it,259,27,0,0,0,0,10,,Hindu Putra,,19,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,a video following modi's 9 diya move,C3 ,-,-,people praising it,589,51,0,1,1,0,59,,Hindu Putra ,,18,2.2 k,,
6-Apr-20,5-Apr-20,10 am to 5 pm,picture supporting modi's 9 diya move,C4,-,-,people prasing it,580,44,0,0,1,0,58,,Hindu Putra,,10,,,
6-Apr-20,6-Apr-20,10 am to 5 pm,a video clip of some media calling Hind putra terrorist organization,C3 ,-,-,people saying jai shree ram and saying media is biased,188,22,0,3,1,0,29,,Hindu Putra,,23,,,
6-Apr-20,4-Apr-20,10 am to 5 pm,video clip police beating muslims and he glorfying in cricket metaphors,C3 ,S4,-,people praising it,4 k ,131,915,4,27,4,481,,Updesh Rana,,670,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,video of hi social work,C3 ,-,-,people praising him,11 k,1.3 k,10,6,33,13,1 k,,Updesh Rana,,1 k,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,urging people to join his twitter account,C3 ,-,-,people saying they will do,12 k,1.3 k,39,7,20,0,3.3 k,,Updesh Rana,,1 k,58 k,,
6-Apr-20,5-Apr-20,10 am to 5 pm,picture supporting modi's 9 diya move,C4,-,- ,people praising it,72 k,4.5 k,153,5,188,3,7.9 k,,Updesh Rana,,2.3 k,,,
6-Apr-20,5-Apr-20,10 am to 5 pm,a sarcastic post on how leftist will criticise modi's 9 diya move,C1,S3,-,people commenting picture with diyas,541,27,70,0,0,0,18,,Ajeet Bharti,,62,,,
6-Apr-20,6-Apr-20,10 am to 5 pm,post glorifying BJP,C1,-,-,people agreeing,470,20,0,0,0,0,3,,Ajeet Bharti,,58,,,
,,,,,,,,,,,,,,,,,,,,,
7-Apr-20,6-Apr-20,10 am to 5 pm,post about social work,C4,-,-,people praising it,111,5,0,0,0,0,11,,Karni Sena,,3,,,
7-Apr-20,7-Apr-20,10 am to 5 pm,post about social work,C4,-,-,people prasing it,11,1,0,0,0,0,1,,Karni Sena,,0,,,
7-Apr-20,7-Apr-20,10 am to 5 pm,post about social work,C4 ,-,- ,no comments,25,0,0,0,0,0,1,,Karni Sena,,0,,,
7-Apr-20,7-Apr-20,10 am to 5 pm,a post about police neglience ,C1,-,-,people saying thank you for the truth,14,0,0,3,0,1,3,,Rajeev Brahmarshi,,5,,,
7-Apr-20,7-Apr-20,10 am to 5 pm,a post about coronavirus,C4 ,-,-,people agreeing too it,78,3,0,0,0,0,2,,Rajeev Brahmarshi,,0,,,
7-Apr-20,7-Apr-20,10 am to 5 pm,post about social work,C4 ,-,-,people saying jai shree ram,76,9,0,0,0,0,4,,Rajeev Brahmarshi,,0,,,
7-Apr-20,7-Apr-20,10 am to 5 pm,a tiktok video for coronavirus,C3 ,-,-,people saying jai shree ram,18,1,0,0,0,0,1,,Rajeev Brahmarshi,,0,,,
